product_name,category,num_reviews,rating,product_created,price_unit,,,,,
Terp Stix - Blue Dream,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
Terp Stix - Double Apple,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Terp Stix - Durban Poison,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
Tropic Truffle 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Unbiased Opinion 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
MTF 1g PR,pre-roll,0,0,3/31/2021,{'unit': 'unit', 'quantity': '1', 'price': 16, 'label': 'each', 'onSale': False, 'originalPrice': 16}
Tincture - Sleep - Lavender Vanilla 15mL,tincture,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 25, 'label': 'each', 'onSale': False, 'originalPrice': 25}
Capsules - Sativa 5mg | 20pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 25, 'label': 'each', 'onSale': False, 'originalPrice': 25}
Levia Seltzer - Achieve Raspberry Lime - Sativa,edibles,0,0,2/16/2021,{'unit': 'unit', 'quantity': '1', 'price': 7, 'label': 'each', 'onSale': False, 'originalPrice': 7}
Tincture - Sativa - Orange Lemon 15mL,tincture,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 25, 'label': 'each', 'onSale': False, 'originalPrice': 25}
Black Cherry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 16, 'label': 'each', 'onSale': False, 'originalPrice': 16}
Blue Raspberry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Capsules - CBD 1:1 10mg | 20pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 35, 'label': 'each', 'onSale': False, 'originalPrice': 35}
Capsules - Indica 5mg | 20pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 25, 'label': 'each', 'onSale': False, 'originalPrice': 25}
Caramel Apple - Indica 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Caramel Apple - Sativa 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Caramel Sea Salt - Indica 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Caramel Sea Salt - Sativa 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Classic Caramel - Indica 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Classic Caramels - Sativa 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Dark Chocolate 10 pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Levia Seltzer - Celebrate Lemon Lime - Hybrid,edibles,0,0,2/16/2021,{'unit': 'unit', 'quantity': '1', 'price': 7, 'label': 'each', 'onSale': False, 'originalPrice': 7}
Milk Chocolate 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Oranges 'N Cream 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Peach 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Peach 1:1 (THC+CBD) 10pk,edibles,0,0,3/20/2021,{'unit': 'unit', 'quantity': '1', 'price': 30, 'label': 'each', 'onSale': False, 'originalPrice': 30}
Raspberry Lemonade 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Sour Blue Raspberry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Sour Pineapple 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
