Name,Flavour,Average Ratings,Category,Chemical Type,Energize Score,THC Potency,After Effects,Chemical Compound,Compound Description
sour-patch-kiss,Sour Patch Kiss,4.69047619,Hybrid,THC Dominant,0.746933903,comparable,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
chems-sister,Chem Sis,4.55,Sativa,THC Dominant,0.637344222,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
blue-hawaiian,Blue Hawaiian,4.266666667,Hybrid,THC Dominant,0.4410822,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
dosi-face,Dosi Face,4.222222222,Hybrid,THC Dominant,-0.223814194,slightly more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
early-lemon-berry,Early Lemon Berry,4.5,Hybrid,THC Dominant,1.309207755,less,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
blue-dragon,Blue Dragon,4.317460317,Hybrid,THC Dominant,0.397392961,slightly less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
gorilla-snacks,Gorilla Snacks,4.590909091,Hybrid,THC Dominant,-0.036605843,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
game-changer,Game Changer,4.360655738,Hybrid,THC Dominant,-0.007734053,comparable,relaxed,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
whitewalker-og,Whitewalker OG,4.676190476,Indica,THC Dominant,-0.717523437,slightly more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
mars-og,Mars OG,4.330143541,Indica,THC Dominant,-0.686305288,comparable,sleepy,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
kushberry,Kushberry,4.202380952,Indica,THC Dominant,-0.349714548,slightly less,relaxed,,
skunkberry,Skunkberry,4.482352941,Hybrid,THC Dominant,-0.262886718,comparable,relaxed,,
velvet-glove,Velvet Glove,4.636363636,Hybrid,THC Dominant,-0.790365784,much more,relaxed,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
duke-nukem,Duke Nukem,4.333333333,Hybrid,THC Dominant,0.794613483,,happy,,
blue-god,Blue God,4.624242424,Indica,THC Dominant,-1.212704242,slightly less,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
grandpas-breath,Grandpa’s Breath,4.617021277,Indica,THC Dominant,-0.671785219,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
barryaire,Barryaire,4.363636364,Hybrid,Unknown,0.229427078,,tingly,,
tangerine-haze,Tangerine Haze,4.365638767,Hybrid,THC Dominant,1.103535245,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
incredible-bulk,Incredible Bulk,4.379310345,Indica,THC Dominant,-0.903676102,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
chocolate-fondue,Chocolate Fondue,4.47761194,Sativa,THC Dominant,1.040346703,slightly more,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
irene-kush,Irene OG,4.549450549,Hybrid,THC Dominant,0.107051934,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
afgooey,Afgooey,4.064690027,Indica,THC Dominant,-0.597071712,slightly less,euphoric,Myrcene,The most common terpene found in cannabis and has an earthy scent.
hawaiian-snow,Hawaiian Snow,4.393518519,Sativa,THC Dominant,1.426981998,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
fortune-cookies,Fortune Cookies,4.61971831,Hybrid,THC Dominant,0.031295893,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
ethos-apex,Ethos Apex,4.545454545,Hybrid,Unknown,-1.810158646,,relaxed,,
